,Job Title,Company,Rating,Location,City,State,Salary Estimate,Min Salary (Thousands),Max Salary (Thousands),Average Salary (Thousands),Size,Industry,Job Description,Seniority
0,Data Analyst,Bell Partners,,"Raleigh, NC",Raleigh,NC,$40K - $73K (Glassdoor est.),40,73,56.5,1001 to 5000 Employees,Real Estate,"Data Analyst
Corporate Headquarters
12575 Uline Dr. Pleasant Prairie, WI 53158

We're passionate about our products because our customers rely on them to run their businesses.

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities
Write SQL queries to retrieve sales, customer and product data.
Perform ad hoc analysis and create reports to illustrate performance, answer business questions and provide recommendations.
Apply basic and intermediate statistical methods (e.g. data aggregation, regression analysis, time series analysis, etc.) to solve business questions.
Collaborate with pricing team members to create reports, analyses and presentations.
Build relationships with the Merchandising and Logistics teams to develop trust and understand processes.
Create what-if scenarios to quantify the impact due to catalog price or vendor cost changes.

Minimum Requirements
Bachelor’s degree. Business, statistics, mathematics or computer science majors preferred.
Proficient in Excel with exposure to SQL, Power BI and statistical methods.
Analytical and organized with relentless attention to detail.
Strong intellectual curiosity with willingness to learn new concepts and tools.

Benefits
Complete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.
401(k) with 5% employer match.
Paid holidays and generous paid time off.
Bonus programs that include annual performance, sales goals and profit sharing.
Scholarship program for children of employees.

Employee Perks
On-site café with executive chefs and seasonal dinner-to-go options.
First-class fitness center with complimentary personal trainers.
Over four miles of beautifully maintained walking trails.
Numerous employee appreciation events throughout the year.
Professional development classes and monthly in-house speakers.

About Uline

Uline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 37,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.

Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.

Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.

EEO/AA Employer/Vet/Disabled
Uline is a drug-free workplace.

#LI-LP1
#CORP",mid-level
1,Data Analyst,Uline,3.6,"Pleasant Prairie, WI",Pleasant Prairie,WI,$65K - $79K (Employer est.),65,79,72.0,5001 to 10000 Employees,,"Data Analyst
Corporate Headquarters
12575 Uline Dr. Pleasant Prairie, WI 53158

We're passionate about our products because our customers rely on them to run their businesses.

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities
Write SQL queries to retrieve sales, customer and product data.
Perform ad hoc analysis and create reports to illustrate performance, answer business questions and provide recommendations.
Apply basic and intermediate statistical methods (e.g. data aggregation, regression analysis, time series analysis, etc.) to solve business questions.
Collaborate with pricing team members to create reports, analyses and presentations.
Build relationships with the Merchandising and Logistics teams to develop trust and understand processes.
Create what-if scenarios to quantify the impact due to catalog price or vendor cost changes.

Minimum Requirements
Bachelor’s degree. Business, statistics, mathematics or computer science majors preferred.
Proficient in Excel with exposure to SQL, Power BI and statistical methods.
Analytical and organized with relentless attention to detail.
Strong intellectual curiosity with willingness to learn new concepts and tools.

Benefits
Complete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.
401(k) with 5% employer match.
Paid holidays and generous paid time off.
Bonus programs that include annual performance, sales goals and profit sharing.
Scholarship program for children of employees.

Employee Perks
On-site café with executive chefs and seasonal dinner-to-go options.
First-class fitness center with complimentary personal trainers.
Over four miles of beautifully maintained walking trails.
Numerous employee appreciation events throughout the year.
Professional development classes and monthly in-house speakers.

About Uline

Uline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 37,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.

Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.

Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.

EEO/AA Employer/Vet/Disabled
Uline is a drug-free workplace.

#LI-LP1
#CORP",mid-level
2,Data Analyst (South of Milwaukee),Uline,3.6,"Milwaukee, WI",Milwaukee,WI,$65K - $79K (Employer est.),65,79,72.0,5001 to 10000 Employees,,"Data Analyst
Corporate Headquarters
12575 Uline Dr. Pleasant Prairie, WI 53158

We're passionate about our products because our customers rely on them to run their businesses.

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities
Write SQL queries to retrieve sales, customer and product data.
Perform ad hoc analysis and create reports to illustrate performance, answer business questions and provide recommendations.
Apply basic and intermediate statistical methods (e.g. data aggregation, regression analysis, time series analysis, etc.) to solve business questions.
Collaborate with pricing team members to create reports, analyses and presentations.
Build relationships with the Merchandising and Logistics teams to develop trust and understand processes.
Create what-if scenarios to quantify the impact due to catalog price or vendor cost changes.

Minimum Requirements
Bachelor’s degree. Business, statistics, mathematics or computer science majors preferred.
Proficient in Excel with exposure to SQL, Power BI and statistical methods.
Analytical and organized with relentless attention to detail.
Strong intellectual curiosity with willingness to learn new concepts and tools.

Benefits
Complete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.
401(k) with 5% employer match.
Paid holidays and generous paid time off.
Bonus programs that include annual performance, sales goals and profit sharing.
Scholarship program for children of employees.

Employee Perks
On-site café with executive chefs and seasonal dinner-to-go options.
First-class fitness center with complimentary personal trainers.
Over four miles of beautifully maintained walking trails.
Numerous employee appreciation events throughout the year.
Professional development classes and monthly in-house speakers.

About Uline

Uline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, our 800+ page catalog of over 37,500 quality products and same-day shipping of our huge in-stock inventory. With over 7,000 employees across 12 locations, it's time you joined Uline.

Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.

Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.

EEO/AA Employer/Vet/Disabled
Uline is a drug-free workplace.

#LI-LP1
#CORP",mid-level
3,Operations Data Analyst,Plante Moran,,"Kalamazoo, MI",Kalamazoo,MI,$36K - $62K (Glassdoor est.),36,62,49.0,1001 to 5000 Employees,Accounting & Legal,"Make your mark. With more than $17.2 billion of assets under management, Plante Moran’s Wealth Management Team serves as a trusted advisor to more than 2,900 high net worth individuals, family business owners, and corporate retirement plans helping them build, manage and preserve their wealth. Our integrated affiliate services include investment consulting, financial planning, trust, insurance consulting, estate planning, business succession, and tax planning.

Your role.
Your work will include, but not be limited to:
Setup and closing of portfolios
Daily manual data entry of financial institution and/or custodian account data
Daily investment data review and reconciliation
Develop, maintain and implement policies and procedures for department
Assist in testing and roll out of system upgrades, system integration and new technology
The qualifications.
3+ years business experience in the investment, banking or accounting field preferred
Detail-oriented leader with strong analytical, problem-solving, and communication (written and verbal) skills
High school diploma or GED equivalent
Associates degree in Business, IT, Accounting or Finance is preferred, but not required
Proficiency in Microsoft Office applications, including Excel.
Qualified individuals must either reside in or near the Kalamazoo or Grand Rapids, MI area or be willing to relocate to the area for this opportunity. This position may require some local or national travel.
Our difference.
We are a nationally recognized public accounting, consulting, and wealth management firm, consistently ranked as one of FORTUNE magazine’s “100 Best Companies to Work For.” At Plante Moran, we live by the Golden Rule, fostering a relatively “jerk-free” culture with the lowest staff turnover rate in the industry. Our supportive network of well-rounded professionals is excited to catapult your growth and help pave your pathway to professional excellence.

Apply now. Make your mark.

This is a non-exempt position, so you may have to work hours that exceed the standard 40-hour work week.

Plante Moran is an Equal Opportunity Employer, committed to a diverse workplace.

Interested applicants must submit their resume for consideration using our applicant tracking system. Due to the high volume of applications received, only candidates selected for interviews will be contacted. Candidates must be legally authorized to work in the United States without sponsorship, with the exception of candidates that are bilingual in Japanese and English. Unsolicited resumes from search firms or employment agencies, or similar, will not be paid a fee and become the property of Plante Moran.

The specific statements above are not intended to be all-inclusive.",mid-level
4,Data Analyst,Sperry Rail Inc.,2.7,"Olathe, KS",Olathe,KS,$40K - $69K (Glassdoor est.),40,69,54.5,201 to 500 Employees,Transportation & Logistics,"Data Analyst I: Based in Olathe, Ks. This is an Overnight position!
Pay is $16 per hour with 20% differential for night work!
LOCAL APPLICANTS ONLY !! THERE IS NO RELOCATION!
SUMMARY OF POSITION:
To process and analyze computer generated test data from detector cars; generate test data audits in accordance to company / client specification; assist in maintaining departmental procedures; processing customer special requests; and to assist in other departmental requirements as needed.
Provide customer audit reports for violations in accordance with internal, client guidelines and procedures.
Assist in data review of service failure investigations, providing this information to the Quality Manager for processing.
Maintain customer and inter-company auditing requirements.
Maintain department measurable as assigned by the Quality Manager.
Provide test data analysis or comparison results as assigned by Quality Manager.
Provide analysis for new technology.
Provide tape comparisons for Chief Operator training class.
MINIMUM REQUIREMENTS:
· Education: High School Diploma/GED.
Skills/Competencies: Communicate effectively, both orally and in writing.
Maintain a relationship with the customer and follow up on all customer complaints. Always maintain a professional and positive attitude toward employees and customers
· Preference to those with fluency in Spanish, Portuguese or Chinese
to apply to the position visit http://www.sperryrail.com/careers.php
Job Type: Full-time
Pay: $16.00 per hour
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Night shift
Overtime
Work Location:
One location
Company's website:
www.sperryrail.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No",mid-level
5,Tactical Data Link (TDL) Analyst-,Oasis Systems LLC,4.4,"Hampton, VA",Hampton,VA,$53K - $95K (Glassdoor est.),53,95,74.0,1001 to 5000 Employees,Information Technology,"Overview:
Oasis Systems has an exciting opportunity for a Tactical Data Link (TDL) Analyst >located at Langley, AFB in Hampton, VA.

LOCATION: Langley, AFB

JOB STATUS: Full-Time

TRAVEL: N/A

REQUIRED QUALIFICATIONS (Education, Certifications, Experience, Skills)

SECURITY CLEARANCE: US Secret and NATO Secret

EDUCATION:Bachelor’s degree in a technical field (such as engineering, computer science, etc.).

CERTIFICATIONS:

EXPERIENCE LEVEL:

OTHER QUALIFICATIONS/SKILLS:
At least five (5) years recent experience (within past 10 years) in a job working formal operational and information exchange requirements development as they relate to fighter aircraft tactical data exchange.
At least five (5) years recent experience (within past 10 years) in a job performing formal Multi-TDL configuration management (to include development and analysis of complex ICPs), data management, military standards management, and staff processes.
At least five (5) years recent experience (within past 10 years) working with and exposure to Joint/Air Force doctrine and the NATO Consultation, Command and Control Board (C3B) and it subcommittees.

RESPONSIBILITIES:
Develop Interface Control Proposals (ICPs) that make editorial and technical changes to current/future multi-TDL configuration items (US Military Standard (Mil-Std) 3011, 6011, 6016, 6017, 6020, MADL, Cursor on Target (CoT), etc.). Perform detailed technical analysis of ICPs as they relate to USAF platforms and systems.
Provide technical multi-TDL expertise to support the integration of multi-TDL capabilities into USAF platforms and systems.
Develop, or review previously-developed, bit-level implementation specifications for USAF platforms and systems. These implementations shall depict the total multi-TDL implementation requirements for the platform.
Provide technical support at Technical Interchange Meetings and Design Reviews concerning multi-TDL implementations.
Provide technical expertise to analyze concepts or problems with Air Force, Joint, or Coalition standards or implementation of those standards and provide solutions or recommendations in appropriate format as required.
Support development of operational concepts and architectures that use existing and emerging capabilities in support of USAF platform/system information exchange, interoperability, and operational employment requirements. This support shall include participation in Integrated Product Teams (IPTs) and other working groups to address specific technical and operational issues.
Provide analytical assessments addressing impacts on existing allied message standards and systems technical accuracy effect on doctrine and identification of potential problems and provide solutions and recommendations for implementation.
Attend and provide technical support for Air Force, Joint and Coalition-related multi-TDL meetings.

Who We Are
Oasis Systems is a premier provider of customer-driven, cost-effective and quality Engineering Services; Enterprise Systems and Applications; Human Factors Engineering; Information Technology and Cyber Security; Professional Services; and Specialized Engineering Solutions to the Department of Defense, FAA, NRC and other federal agencies.
We strive to be an exciting and welcoming company that attracts, develops, motivates and retains the most talented, skilled and dedicated people in the industry; where they are encouraged to achieve personal excellence, purpose, and their full potential and career aspirations; while supporting mission-critical national security technologies and programs.",mid-level
6,Data Analyst,divvyDOSE,4.0,"Moline, IL",Moline,IL,$33K - $59K (Glassdoor est.),33,59,46.0,201 to 500 Employees,Health Care,"divvyDOSE is a new kind of home-delivery pharmacy in a hyper-growth phase focused on adherence packaging.

Our company is professional but fun, dedicated yet quirky. We are fast-paced, highly-motivated doctors, pharmacists, pharmacy technicians, and support staff who focus on health and wellness (and if we’re being honest, sometimes pizza) and most of us have slight obsessions with our pets. We want to make a difference in the lives of our customers by treating them like friends and family. We offer a work-hard, play-hard environment with competitive pay and a comprehensive benefit plan.

Vision/Mission

Our vision is to fix and reimagine healthcare for everyone. Our mission is to engage customers by fixing all the problems around getting and taking their medications. We've taken the first step by simplifying adherence.

We’re now part of Optum and the UnitedHealth Group family of businesses, backed by the resources of a global health organization working to help people live healthier lives and to help make the health system work better for everyone. Are you looking for a way to create next-level results with a human-level approach? Then look at opportunities with divvyDOSE, where changing the world is just one result of doing your life’s best work.SM

About the job:

Our data operations team is the pharmacy support system for our customers - we help them transition to divvyDOSE, manage their prescriptions, answer their questions, and coordinate care with their health team. This work is coordinated across pharmacists, technicians, and customer support staff to ensure we provide the best care for our customers. Among other things, we transfer prescriptions to and from other pharmacies, contact medical care providers to understand treatments and request prescription refills and answer inbound questions from our customers.

You will:


Your goal is to help the operation run more effectively and efficiently through data analysis, reporting, dash-boarding, and special projects. You will help us build context through better reporting and drive the business forward by providing data-driven recommendations on ways to improve efficiency and optimize our operation. On any given day you might be presenting to our executive team, doing a deep dive on call analytics, or working with a small team to prototype and test new processes.
Become an expert and go-to resource for our process flows and our operational data
Work with operations management to develop actionable operations performance dashboards across all areas of the organization
Perform ad-hoc data analysis to identify measurable improvements to our operation, and advocate for those improvements via presentations and reports
Maintain and improve operations forecasting models
Collaborate with Finance and Technology teams to ensure we are able to continue to effectively measure our operation as technology improves
Communicate effectively and efficiently across multiple teams and work groups
Requirements
You have strong analytical and problem-solving skills
You are used to tackling very loosely defined problems and still deliver high-quality output
Advanced proficiency in Excel, PowerPoint, and strong written and oral communication
Ability to adapt quickly to a changing environment
3-5 years of analyst experience
Bachelor's degree, with major in analytical or technical field strongly preferred
Experience with BI tools such as Looker or Tableau is a plus
Job Title: Data Analyst

Job Type: Full-time

FLSA Status: Exempt

Benefits

In addition to competitive salary and a unique opportunity to thrive at a growing company, divvyDOSE offers various formal benefits as well.

INSURANCE, PAID TIME OFF, & RETIREMENT

Full-time employees receive Sick days, Vacation days, and Holiday Bonuses as well as employer-paid Medical (including a Health Savings Account with an employer contribution), Dental, Vision, and Life insurance. In addition, we're proud to offer Voluntary Life & AD&D, Short Term Disability, and Long Term Disability coverage. A 401k plan with employer contribution is available, too.

SOCIAL EVENTS

In our company description, you can tell the divvyTEAM likes to have fun. Regular potlucks, company events, pizza days, wellness challenges, and divvyNEWS You Can Use updates maintain our work-hard play-hard culture.

Diversity creates a healthier atmosphere: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.

UnitedHealth Group is a drug-free workplace. Candidates are required to pass a drug test before beginning employment. In addition, employees in certain positions are subject to random drug testing.

Employment with divvyDOSE is AT WILL, and can be terminated at any time, for any reason, by either party.",mid-level
7,Data Analyst,Professional Research Consultants,3.0,"Omaha, NE",Omaha,NE,$28K - $50K (Glassdoor est.),28,50,39.0,501 to 1000 Employees,Business Services,"Join the PRC Team

Apply to become a Data Analyst


Apply Now

Data Analyst


“Remote working is available for this position during the COVID-19 pandemic, including the hiring and training process”

At PRC, we “Healthcare Differently.” We stand side-by-side with each customer as their partner, striving for excellence in healthcare. We make a difference. We also People Differently. We hire the best and get out of their way. Through a culture of support, respect, inclusion, teamwork, and a good dose of humor, we empower excellent employees. Join us in making a difference.

At PRC, we value:
Quality. We have a genuine commitment to doing things right.
Service. We have a responsibility to provide excellent service not only to our customers, but to each other.
Collaboration. We, as a team, accomplish more than any one of us could individually.
Innovation. We have an abundance of expertise and creativity on our team, focusing efforts on excellence and continued enhancement.
Growth. We have a legacy to build, for the benefit of our community and the communities of our customers.
At PRC, we highly value our people. And we understand the importance of what they value.
Your life outside of PRC matters. We offer PTO and holiday pay to all employees.  We have a flexible work environment giving you the balance you need.
Casual! We play by the rule of dress-for-your-day.
We support you. Whether you need the help of a teammate or professional development, this team has your back.
We offer competitive pay, as well as a comprehensive fulltime benefits package to help keep your health on track.
We’re excited to be looking for a new member of our team.  And, here’s who we’re looking for:

What does Data Analyst at PRC do?

As an entry level position, the Data Analyst ensures the quality of data by compiling survey data, performing quality control, and sharing data with internal and external users.

More specifically, they…
Perform quality assurance and quality control of data.
Use internal and external programs, perform statistical analysis, significance testing, regression, correlations, and discriminant, as needed.
Provide support to Research Analysts, Coding, Project Management, and Account Management.
Provide data files/reporting to clients, internal and external.
Troubleshoot and problem solve posted data from internal programs.
Participate in team planning and forecasting.
Create and maintain documentation of statement of procedures.
Collaborate with internal PRC departments to assess client needs, representing the department during the life of the study.
What does a Data Specialist at PRC need?

Knowledge
Bachelor’s degree, or equivalent experience required. Psychology, Sociology, Community Health, Public Administration preferred; other majors considered.
Experience with Microsoft Office, and statistical software such as R, SPSS, or SAS for analyzing large data sets.
Experience in SQL and relational databases is beneficial.
Skills and Abilities
Aptitude for computers and technical systems.
Critical thinking skills. Analytical.
Excellent verbal and written communication skills and problem solving skills.
Organized and detail oriented. Ability to spot variations in patterns.
Understand and interpret data.
Learn and use a number of computer programs.
Prioritize and maintain balance among multiple tasks.
Understand how abstract systems fit together and affect each other.
Be polite, professional, and courteous. Additionally, discreet, ethical, and trustworthy.
We have a beautiful campus conveniently located in Omaha near the Interstate. PRC offers a pleasant environment in a non-smoking, drug free office. For more information, please visit: www.PRCcustomResearch.com. Also, we understand that the industry is complex. If you have questions, please reach out.

Qualified applicants are asked to complete an application by visiting: www.WorkForPRC.com

PRC is an Equal Opportunity Employer

Apply Now",mid-level
8,Data Standard Analyst - Biostatistics Team,"Medpace, Inc.",2.9,"Cincinnati, OH",Cincinnati,OH,$34K - $82K (Glassdoor est.),34,82,58.0,1001 to 5000 Employees,Biotech & Pharmaceuticals,"Overview :
Medpace is a full-service clinical contract research organization (CRO). We provide Phase I-IV clinical development services to the biotechnology, pharmaceutical and medical device industries. Our mission is to accelerate the global development of safe and effective medical therapeutics through its scientific and disciplined approach. We leverage local regulatory and therapeutic expertise across all major areas including oncology, cardiology, metabolic disease, endocrinology, central nervous system, anti-viral and anti-infective. Headquartered in Cincinnati, Ohio, employing approximately 3,500 people across almost 40 countries.
Job Summary:
Our corporate activities are growing rapidly, and we are currently seeking a full-time, office-based Data Standard Analyst to join our Biostatistics team. This position will work on a team to accomplish tasks and projects that are instrumental to the company’s success. If you want an exciting career where you use your previous expertise and can develop and grow your career even further, then this is the opportunity for you.
Responsibilities :
Create annotated CRFs per CDISC SDTM standard and mapping specifications for study level data collection source data to CDISC SDTM;
Implement data standard and create SDTM data;
Perform validation of CDISC SDTM data in accordance with SOPs and guidance documents; and
Ensure SDTM data conforms to the data standards expected by regulatory agencies.
Qualifications :
Bachelor's Degree in Math, Statistics, Life Sciences, or equivalent; and
SAS knowledge preferred.

TRAVEL: None
Why Medpace?:
When you join Medpace, you become part of a team dedicated to supporting the development of ground-breaking drugs and devices. Our employees provide hope for those living with debilitating diseases. We invite you to be a part of something that is impacting millions of people around the globe while enjoying a competitive total compensation and benefits package and internal growth opportunities.

Awards:
Medpace historically named a Top Cincinnati Workplace by the Cincinnati Enquirer
Medpace ranks amongst top CROs for site ratings across all 10 important attributes including CRA training, preparation & organization, accessibility of staff, open communication, and ensuring timely drug availability
Continually recognized with CRO Leadership Awards from Life Science Leader magazine based on expertise, quality, capabilities, reliability, and compatibility
What to Expect Next:
A member of our recruitment team will review your qualifications and, if interested, you will be contacted for an interview.

EO/AA Employer M/F/Disability/Vets
WARNING: Please beware of phishing scams that offer opportunities with Medpace in exchange for sending money. These scammers pose as legitimate employees from actual companies. Please be advised that a Medpace employee will never ask you for a credit card, send you a check, or ask you for any type of payment as part of consideration for a role with our company. All of our careers require that you first complete an online application and go through some sort of interview process.",mid-level
9,Data Warehouse Analyst,Neuropsychiatric Hospitals LLC,2.3,"Houston, TX",Houston,TX,$73K - $125K (Glassdoor est.),73,125,99.0,51 to 200 Employees,,"About Us:
HEALING THE BODY AND MIND
Founded fifteen (15) years ago, NeuroPsychiatric Hospitals is the largest hospital system in the nation providing care to patients with both neurological and medical needs. We are unique in that we serve a population which others have been previously been unable to, largely due the patient’s underlying medial issues. Our facilities maintain an inter-disciplinary focus using a multi-specialty approach for both neuropsychiatric and complex medical care issues. This proven approach provides unrivaled quality care for all of our patients. We have multiple locations throughout the United States and are continuing to add locations to ensure better access to our unique model of care.
Overview:
NeuroPsychiatric Hospitals, a national Acute Specialty hospital system is searching for a detail oriented, success driven Data Warehouse Analyst to work closely with our CFO. The right candidate will have their choice of hospital location to be housed at, which include:

Medical Behavioral Hospital of Clearlake in Houston, TX
Phoenix Medical Behavioral Hospital in Phoenix AZ
Medical Behavioral Hospital of Northern Arizona in Prescott, AZ
Mishawaka Behavioral Hospital in Mishawaka, IN
Doctors NeuroPsychiatric Hospital in Bremen, IN
NeuroBehavioal Hospital in Crown Point, IN
Our Corporate Headquarters located in South Bend, Indiana

The successful candidate will turn data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will monitor performance and quality control plans to identify improvements.
Responsibilities:
Job Duties Include but are not limited to:
Coordinates and takes responsibility to provide analytical support and business analysis for operations
Develops reports for daily, weekly and monthly tracking of operational and financial trends and other reports as requested
Generates and provides accurate and timely results in the form of reports, presentations, etc.
Submit reports accurately in a timely manner, ensuring delivery deadlines · Advising the Chief Financial Officer on existing and evolving billing/operating/financial issues
Identifying the underlying principles, reasons, or facts of information by utilizing data gathered through analysis
Join data from multiple sources to present a clear, unified picture of the organization’s operations
Provide ad hoc research and analysis as required
Requirements:
Must be able to effectively present information and respond to questions from groups to managers, clients, customers, and ownership
Must be able to anticipate, understand and respond to various needs and priorities of stakeholders throughout the organization
Must be able to influence others without direct authority
Must have advanced Microsoft Excel skills as well as Analytical mindset
Must be able to define problems, establish facts, and draw valid conclusion
Knowledge, Skills, and Requirements:
Business Intelligence Tools: Power BI, Tableau, Python, SQL knowledge highly desirable
Advanced proficiency with Excel
Availability to work in a fast-paced, deadline driven environment
Detail oriented and well organized
Excellent written and oral communication skills and demonstrated influencing abilities
Candidate must possess excellent analytical and conceptual skills
A minimum of two years of experience is required
Success Drivers and Competencies:
Must be able to convey information in a clear, focused, and concise manner
Experience in prioritizing, planning, coordinating, and executing multiple projects simultaneously
The ability to think creatively and work in a team environment is required Individual must work well in a dynamic environment and be able to recommend and implement process improvements, work independently and handle multiple tasks simultaneously
Qualifications:
Education/Preferences
4-year bachelor's degree in Business Administration, Healthcare Administration, Finance, Accounting or related major; MBA preferred
Healthcare: 2 years (Preferred)
Business Analysis, Statistical Analysis: 2 years",mid-level
