name,interview questions,category
ATF,"The interview question was about my previous jobs, skill set, management skills and previous office related job responsible.",experience
Acclaris,"Most difficult questions were related to SQL specifically. Nested queries, decoding SQL queries.",technical
Amazon,"how did you analyze data? Who uses your data analysis results? how large is the data set you work with? sql question one: the first table is customer purchase table, with five columns, customer id, purchase date, product id, unit price, unit purchased, write queries to retrieve data with unique customer id that made over $100 purchase in the past seven days. sql question two: a second table is the customer details table, with two columns, customer id, registration date, write queries to retrieve data with unique customer id that made over $100 purchase who registered in the past ten days. probability question: what is the probability of generating ten consecutive numbers in ascending order out of 100 numbers? this is a random number generation question.",probability
American Express,How many quarters at any given time are in a shopping mall how where are they located?,case
American Greetings,Tell me about what makes me stand out from other potential applicants.,behavioral
American Power and Gas,Write Queries using Join,technical
Apple,What makes you different from the other analysts?,behavioral
Arch Capital,Do you have experience in Data Modeling?,experience
Argus Information & Advisory Services,What is interchange?,technical
Availity,Tell me about yourself,behavioral
Bell Info Solutions,How do you troubleshoot performance problems in SQL Server?,technical
Benefit Cosmetics,Revenues and page views are down for the eCommerce site. What things would you look into to figure out why?,case
Bird,Find for each day what is the number of “Birds” (their product) what is the net PROFIT,case
BlackRock,Most of the questions were regarding my work experience so far. And a few logic questions like what is the angle between the hours hand and minutes hand when the time is 3:15; How do I identify which switch corresponds to which light bulb when the switches are in one room and the bulbs are in another and given that I can enter the room with bulbs only once.,brain teaser
Bloomberg L.P.,Where would you put a coffee machine in a car? How do you explain a vending machine to someone who hasn't seen or used one before?,case
Bloomberg L.P.,What is one issue with big data today? And how would you solve it?,case
Bloomberg L.P.,What does the following code produce? Why Bloomberg? Why are you interested in Finance? What do you look for when you invest in a company? (I interviewed for the equities team),behavioral
Bloomberg L.P.,What does our market data analyst do?,behavioral
Blue Apron,How I would plan meals,case
Blue Cross and Blue Shield Association,Strengths and Weakness,behavioral
CFA Institute,Your internship experience and software-using experience.,experience
CMC,What is EBITDA?,technical
CME Group,"How to short vega and long gamma, or short gamma and long vega using European call options only?",technical
CME Group,What are the differences between Python and C++?,technical
COTA,Tell me about vlookup function in Excel. What would be the substitute functions for vlookup?,technical
Caesars Entertainment,What is your experience with scraping algorithms.,experience
Capital One,Describe a time when you had to use persuasion to influence other's opinions.,behavioral
Capital One,Wheat harvesting case using tractor and calculating break even point. Campaign success measurement - using alpha beta testing.,technical
Capital One,"A coding company with a new contract. Divided in two cases : 1. short-term contract, 2. long-term contract It was desired to see how the company should deal with the new contract.",case
Capital One,"Case 1: Given APR, Interchange fee, Avg monthly balance, Avg spend every month, and loss rate of 3% calculate the profit per customer. Now justify if it is profitable to give cash back to the customers.. Case 2: 2 ways of campaigning for credit cards 1. Email - 10% of applicants become customers - each representative can verify 10 email applications in an hr and is paid $25/hr 2. Chat - 20% of applicants become customers - each representative can respond to 4 applications in an hr and is paid $25/hr Profit per customer in both the cases in $100. which one is profitable email or chat. Draw the graph of profit vs no of applicants Consider a scenario where there are only 5 representatives to handle applications. In this case which one is more profitable email or chat. calculate the breakeven point for the no of representatives where chat will be profitable than email.",case
Capital One,"case study: credit card insurance profit per customer cost of mailing $0.5, response rate 1%, average balance per month $1000, insurance charges 1% of average balance monthly, customer claim rate 5% (once insured customer files a claim, the balance will be wiped and C1 lose $1000). Question: profit per customer, graph claim rate vs response rate, graph profit vs response rate and find the response rate for maximum profit (r=1%)",case
Capital One,"A time you avoided an obstacle, A time you had to learn something new, Third one was something along the lines of: A time you had to request extra help to complete a project/task",behavioral
Capital One,"Suppose you take out a loan of $3000 for 1 year. If the loan has an interest of 2% for the first 5 months and 14% for the rest of the year, how much interest will you have to pay by the end of the year?",brain teaser
Capital One,An ATM makes $2 per customer for 30% of its customers. Each time a customer uses the ATM it costs 2cents. The ATM servicing costs $3000. What is the break even point for this ATM?,brain teaser
